sample_name_abbreviation,component_group_name,component_name,calculated_concentration_units,var,ci_level,max,test_stat,median,used_,ci_lb,iq_1,cv,min,n,iq_3,ci_ub,mean,pvalue_corrected,index_
EColi_BL21,23dpg,23dpg.23dpg_1.Light,umol*gDW-1,0.07263058,0.95,1.948189336,14.10251612,1.579054812,TRUE,1.268779899,1.346982103,17.36916819,1.225982811,6,1.675549485,1.834426994,1.551603447,3.2263E-05,1
EColi_BL21,6pgc,6pgc.6pgc_1.Light,umol*gDW-1,3.467904973,0.95,14.59980063,15.40620135,11.48863827,TRUE,9.758314346,10.50475895,15.89937511,9.452889768,6,12.6738125,13.66689789,11.71260612,2.09131E-05,2
EColi_BL21,accoa,accoa.accoa_1.Light,umol*gDW-1,1.033087429,0.95,8.470652716,17.22966513,7.296246431,TRUE,6.082746616,6.440223923,14.21669966,5.770680401,6,7.754841219,8.216058455,7.149402536,1.20607E-05,5
EColi_BL21,,accoa_ratio,ratio,0.001051337,0.95,0.642866363,45.58536717,0.605306582,TRUE,0.569394177,0.59002775,5.373412336,0.551835953,6,0.624035297,0.637448652,0.603421415,9.59E-08,6
EColi_BL21,,accoa_ratio_denominator,ratio,1.419828944,0.95,13.17638192,24.27967572,12.0239148,TRUE,10.56049035,10.71970215,10.08864275,10.43424234,6,12.69774351,13.06143349,11.81096192,2.20917E-06,7
EColi_BL21,,accoa_ratio_numerator,ratio,1.033087429,0.95,8.470652716,17.22966513,7.296246431,TRUE,6.082746616,6.440223923,14.21669966,5.770680401,6,7.754841219,8.216058455,7.149402536,1.20607E-05,8
EColi_BL21,acon-C,acon-C.acon-C_1.Light,umol*gDW-1,0.19434023,0.95,2.680043234,12.40459398,2.325571447,TRUE,1.769850046,2.160435534,19.74663376,1.422987683,6,2.482896209,2.695117233,2.23248364,6.03416E-05,9
EColi_BL21,ade,ade.ade_1.Light,umol*gDW-1,1.32513E-05,0.95,0.064188873,38.56479296,0.056278732,TRUE,0.053491732,0.054819654,6.35162166,0.054533839,6,0.057763246,0.06113212,0.057311926,2.21E-07,12
EColi_BL21,adn,adn.adn_1.Light,umol*gDW-1,0.000826643,0.95,0.164895431,9.930278315,0.104001441,TRUE,0.086385956,0.096910323,24.66687907,0.093604595,6,0.129727324,0.146731425,0.116558691,0.000176779,14
EColi_BL21,adp,adp.adp_1.Light,umol*gDW-1,0.016169391,0.95,1.17847412,19.53126037,0.963610013,TRUE,0.880469721,0.919611744,12.54138082,0.90034362,6,1.120281638,1.147359924,1.013914822,6.49428E-06,15
EColi_BL21,adpglc,adpglc.adpglc_1.Light,umol*gDW-1,0.000306639,0.95,0.080327867,6.554438136,0.038373087,TRUE,0.028480137,0.03716074,37.37146788,0.034971085,6,0.048848167,0.065233733,0.046856935,0.00123876,17
EColi_BL21,akg,akg.akg_1.Light,umol*gDW-1,1.455866456,0.95,3.620140742,4.360666194,1.975317645,TRUE,0.881776748,1.147687893,56.17237445,0.860172583,6,3.182842054,3.414259958,2.148018353,0.007285694,19
EColi_BL21,amp,amp.amp_1.Light,umol*gDW-1,0.063234242,0.95,1.245362877,9.144296792,0.965644388,TRUE,0.674856446,0.781349917,26.78707613,0.577880232,6,1.109957069,1.202647423,0.938751935,0.000262093,20
EColi_BL21,arg-L,arg-L.arg-L_1.Light,umol*gDW-1,0.001560395,0.95,1.039822107,61.51839427,0.993262396,TRUE,0.950625126,0.982029924,3.981719243,0.925134293,6,1.015349277,1.033534384,0.992079755,2.15E-08,22
EColi_BL21,asn-L,asn-L.asn-L_1.Light,umol*gDW-1,0.063382078,0.95,0.804912734,5.252478578,0.581264958,TRUE,0.275644711,0.348836391,46.63493066,0.204172034,6,0.742403333,0.804052293,0.539848502,0.00331942,25
EColi_BL21,asp-L,asp-L.asp-L_1.Light,height_ratio,0.004380999,0.95,0.546682822,17.08233371,0.466253766,TRUE,0.392130658,0.414059699,14.3393156,0.3754701,6,0.50523528,0.531053092,0.461591875,1.25821E-05,26
EColi_BL21,atp,atp.atp_1.Light,umol*gDW-1,111.861677,0.95,66.71988207,13.46314623,62.87489043,TRUE,47.03218698,51.89034382,18.19403653,41.55640782,6,65.61934119,69.23083207,58.13150952,4.04796E-05,27
EColi_BL21,camp,camp.camp_1.Light,umol*gDW-1,0.001089821,0.95,0.230065908,14.59917685,0.208909874,TRUE,0.162112623,0.182644602,16.77827297,0.140563146,6,0.215880452,0.231401474,0.196757049,2.72317E-05,29
EColi_BL21,chor,chor.chor_1.Light,umol*gDW-1,1867.594914,0.95,159.6934909,5.158945001,85.91148072,TRUE,45.66578493,58.88386639,47.48043916,45.40586691,6,110.9604987,136.3699325,91.01785871,0.003587904,31
EColi_BL21,cit,cit.cit_1.Light,umol*gDW-1,0.04059953,0.95,1.352526101,13.4021688,1.073769171,TRUE,0.890998488,0.967190357,18.27681608,0.850130255,6,1.268085288,1.313906882,1.102452685,4.13871E-05,32
