,id,experiment_id,sample_name_abbreviation,time_point,met_id,fragment_id,fragment_formula,intensity_normalized_average,intensity_normalized_cv,intensity_normalized_stdev,intensity_normalized_units,scan_type,met_elements,met_atompositions,used_,comment_
2301,8197,WTEColi_113C80_U13C20_01,OxicWtGlc,0,13dpg_c,13dpg_c_C3H7O10P2_MRM,C3H7O10P2-,"{0.696674314267926,0.23463501623641,0,0.103036004243496}","{11.3305584551957,34.9126587767612,0,7.03087714987965}","{0.0789370904204612,0.0819173225894161,0,0.00724433487850499}",normSum,MRM,"{C,C,C}","{0,1,2}",True,
2302,8198,WTEColi_113C80_U13C20_01,OxicWtGlc,0,6pgc_c,6pgc_c_C6H12O10P_MRM,C6H12O10P-,"{0.0952004146382063,0.579039752722581,0.0788477527004379,0.0528895628495077,0.0348303889706778,0.0280734745342145,0.131118653584374}","{29.4669123254768,7.66961870913817,2.94743825804652,35.8251367026791,13.4671579272437,27.7579936337229,7.5195372282381}","{0.0280526227149306,0.0444101412081585,0.00232398882870261,0.0189477581922855,0.00469066348935445,0.00779263327397208,0.00985951596944155}",normSum,MRM,"{C,C,C,C,C,C}","{0,1,2,3,4,5}",True,
2303,8199,WTEColi_113C80_U13C20_01,OxicWtGlc,0,accoa_c,accoa_c_C23H37N7O17P3S_MRM,C23H37N7O17P3S-,"{0,0.00690702211322852,0.0167366669706,0.039464125696815,0.0675670911151629,0.0999417814793519,0.119968558042393,0.13483752078846,0.131291570342029,0.106093559254762,0.0930837740035925,0.0676373693948795,0.0466088283094514,0.0293022449784092,0.0169956000175276,0.00874120826663291,0.00367914680852023,0.00224965376595672,0.00186052300462985,0.00168889106428943,0.00158257817125445,0.00154129895309972,0.00148071900068717,0.00126853680243054}","{0,23.302604981763,5.08046118543714,5.85513101734388,6.48942605523363,8.75599929914122,3.76244711882663,5.02686669664418,3.9099751189927,6.7348084928936,3.56157416549854,3.37812009949327,5.10223319843469,10.1484059744441,5.42331535041403,15.0336663978087,17.1366046654558,33.2146771844192,46.6123700472899,41.0476092999304,65.007197312675,48.4809467457666,42.5720907000477,65.2317406724682}","{0,0.00160951607904866,0.000850299869177211,0.00231067626439779,0.00438471641559083,0.0087509016858813,0.00451375355556387,0.00677810242709577,0.00513346773370813,0.00714519803910281,0.003315247647183,0.00228487157029693,0.00237809111140626,0.00297371078003513,0.000921724984645544,0.00131412408994327,0.000630480843637846,0.000747215236129654,0.000867233867733022,0.000693249405570962,0.0010287897144147,0.000747236324645333,0.000630373035985382,0.00082748863729631}",normSum,MRM,"{C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C}","{0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22}",True,
2304,8200,WTEColi_113C80_U13C20_01,OxicWtGlc,0,acon_DASH_C_c,acon_DASH_C_c_C5H5O4_MRM,C5H5O4-,"{0.148202551751771,0.294872383533282,0.272710346313985,0.168670865145794,0.0918482516621361,0.023695601593032}","{8.93571459384499,4.60509983747325,5.16473455054812,2.29236455520074,3.31857059804295,8.35952243028002}","{0.0132429570453337,0.0135791676548447,0.0140847654789978,0.00386655112755262,0.00304804907447614,0.0019808391301593}",normSum,MRM,"{C,C,C,C,C}","{0,1,2,3,4}",True,
2305,8201,WTEColi_113C80_U13C20_01,OxicWtGlc,0,acon_DASH_C_c,acon_DASH_C_c_C6H5O6_MRM,C6H5O6-,"{0.138726958544715,0.246583696143647,0.262788800060482,0.196115885443638,0.104572409181694,0.0436391515408632,0.00757309908496058}","{8.90754716551736,5.13385668484297,5.58760621679614,2.08480060143086,4.09368687181375,6.43527494655392,15.7264479837513}","{0.0123571692636582,0.0126592535682035,0.0146836033292235,0.00408862515923042,0.00428086698621036,0.00280829938599787,0.00119097948835427}",normSum,MRM,"{C,C,C,C,C,C}","{0,1,2,3,4,5}",True,
2306,8202,WTEColi_113C80_U13C20_01,OxicWtGlc,0,akg_c,akg_c_C4H5O3_MRM,C4H5O3-,"{0.0139339517171447,0.428172081371314,0.352684631724301,0.164230974096741,0.045623011662881}","{11.1798328557448,5.73581232115707,4.46027117041963,5.00082322447068,30.0462937861485}","{0.00155779251217696,0.0245591469990505,0.0157306909512996,0.00821290069440425,0.013708024118318}",normSum,MRM,"{C,C,C,C}","{0,1,2,3}",True,
2307,8203,WTEColi_113C80_U13C20_01,OxicWtGlc,0,akg_c,akg_c_C5H5O5_MRM,C5H5O5-,"{0,0.353333194387237,0.332788918216832,0.21649464450926,0.073871564601076,0.0235116782855952}","{0,5.01438629226426,4.68304533425377,6.01963241915709,14.5487701222891,14.1821351757654}","{0,0.017717491265373,0.0155846559074669,0.0130321818066183,0.0107474041195488,0.00333445799655419}",normSum,MRM,"{C,C,C,C,C}","{0,1,2,3,4}",True,
2308,8204,WTEColi_113C80_U13C20_01,OxicWtGlc,0,amp_c,amp_c_C10H13N5O7P_MRM,C10H13N5O7P-,"{0.0513403252083507,0.195924538355618,0.224640040059233,0.213404752974983,0.10354697597569,0.105353144589893,0.0746279378864078,0.0438321457632357,0.015757342883576,0.00608845496157604,0}","{12.8765000587447,8.17190120148057,6.47680081631163,4.77015247489246,21.4952695960096,8.9158456456426,7.81880626290945,8.00215748090835,16.3367074230556,18.4746560778528,0}","{0.006610837005613,0.016010759703878,0.0145494879483192,0.0101797321055743,0.0222577016444899,0.00939312375446553,0.00583501388134263,0.00350751733123542,0.00257423100453748,0.00112482111460614,0}",normSum,MRM,"{C,C,C,C,C,C,C,C,C,C}","{0,1,2,3,4,5,6,7,8,9}",True,
2309,8205,WTEColi_113C80_U13C20_01,OxicWtGlc,0,asp_DASH_L_c,asp_DASH_L_c_C3H6NO2_MRM,C3H6NO2-,"{0.362688290017818,0.371120347088396,0.156202011518269,0.109989351375516}","{3.4575809805294,4.95979947663271,4.27865337890304,8.24546442812566}","{0.0125402413342634,0.0184068250325678,0.00668334264374093,0.00906913284239431}",normSum,MRM,"{C,C,C}","{1,2,3}",True,
2310,8206,WTEColi_113C80_U13C20_01,OxicWtGlc,0,asp_DASH_L_c,asp_DASH_L_c_C4H6NO4_MRM,C4H6NO4-,"{0.326136212112892,0.351614354694919,0.148690281524059,0.14912684941912,0.0244323022490109}","{4.8712475363574,5.36668537642805,5.0579193212797,8.95913309335936,11.15743752706}","{0.0158869021977186,0.0188700361548341,0.00752063447807056,0.0133604729173926,0.00272601885985587}",normSum,MRM,"{C,C,C,C}","{0,1,2,3}",True,
2311,8207,WTEColi_113C80_U13C20_01,OxicWtGlc,0,atp_c,atp_c_C10H15N5O13P3_MRM,C10H15N5O13P3-,"{0.0645823836519661,0.173129760516522,0.209802149465216,0.189167412144247,0.145109306482955,0.0959329344749867,0.062750175057891,0.0365817466085679,0.0157887490388866,0.00570791632788613,0.00144746623087469}","{8.2448205877639,2.13727278126841,2.42692714274752,1.99216691140714,5.00034072832005,6.31485635901747,3.67023108105847,3.93688350748885,7.15185964975467,8.13412280848371,13.2900409755593}","{0.00532470166340597,0.00370025524779481,0.00509174531143905,0.00376853059190286,0.00725595975264997,0.00605802701308576,0.00230307642839332,0.00144018074898407,0.00112918917171316,0.000464288923915752,0.00019236885519063}",normSum,MRM,"{C,C,C,C,C,C,C,C,C,C}","{0,1,2,3,4,5,6,7,8,9}",True,
2312,8208,WTEColi_113C80_U13C20_01,OxicWtGlc,0,dhap_c,dhap_c_C3H6O6P_MRM,C3H6O6P-,"{0.285899937762146,0.483533282023271,0,0.230566780214583}","{11.3010728984057,5.23131862055332,0,9.62989201571836}","{0.0323097603829966,0.025295166619056,0,0.022203331958783}",normSum,MRM,"{C,C,C}","{0,1,2}",True,
2313,8209,WTEColi_113C80_U13C20_01,OxicWtGlc,0,fad_c,fad_c_C27H32N9O15P2_MRM,C27H32N9O15P2-,"{0,0,0.0257916317626292,0.0544166361393792,0.0778246507815903,0.0938371870506823,0.106914375846105,0.116046718233621,0.113015922665638,0.110937792323738,0.0918312701857498,0.0708581588634025,0.0496681712017799,0.0356877210533912,0.0230872785802777,0.0133010800302323,0.00740108248128395,0.00470356942858909,0,0,0,0,0,0,0,0,0,0.00467675337191101}","{0,0,25.4854679940341,11.2595959505858,10.7548213654571,7.67854866064248,7.67407875496502,6.49033664016463,9.38873620159067,5.25140177440562,8.85853991142518,3.95699714727837,7.56948995304548,13.9424374777754,12.3506306551806,21.7637680460978,42.9369122664207,26.764185033676,0,0,0,0,0,0,0,0,0,29.5380724675686}","{0,0,0.006573118058004,0.00612709335919455,0.00836990216985085,0.00720533406946474,0.0082046934028094,0.00753182267322531,0.0106107668448705,0.0058257891945752,0.00813490972057334,0.00280385532483881,0.00375962722898016,0.00497573819511196,0.00285142450578272,0.00289481620540559,0.00317779629175432,0.001258872025055,0,0,0,0,0,0,0,0,0,0.00138142280012453}",normSum,MRM,"{C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C}","{0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26}",True,
