"id","mapping_id","met_id","met_elements","met_atompositions","met_symmetry_elements","met_symmetry_atompositions","used_","comment_","met_mapping","base_met_ids","base_met_elements","base_met_atompositions","base_met_symmetry_elements","base_met_symmetry_atompositions","base_met_indices"
1,"central03","aspsa_c","{C,C,C,C}","{0,1,2,3}",NULL,NULL,True,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,"central03","4pasp_c","{C,C,C,C}","{0,1,2,3}",NULL,NULL,True,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3,"central03","for_p","{C}","{0}",NULL,NULL,True,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4,"central03","for_e","{C}","{0}",NULL,NULL,True,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5,"central03","accoa_c","{C,C}","{0,1}",NULL,NULL,True,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6,"central03","acald_c","{C,C}","{0,1}",NULL,NULL,True,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7,"central03","accoa_c","{C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C}","{0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22}",NULL,NULL,True,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8,"central03","coa_c","{C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C}","{0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20}",NULL,NULL,True,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
9,"central03","etoh_c","{C,C}","{0,1}",NULL,NULL,True,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10,"central03","hom_DASH_L_c","{C,C,C,C}","{0,1,2,3}",NULL,NULL,True,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
11,"central03","thr_DASH_L_c","{C,C,C,C}","{0,1,2,3}",NULL,NULL,True,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
12,"central03","4abut_c","{C,C,C,C}","{0,1,2,3}",NULL,NULL,True,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
13,"central03","akg_c","{C,C,C,C,C}","{0,1,2,3,4}",NULL,NULL,True,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
14,"central03","glu_DASH_L_c","{C,C,C,C,C}","{0,1,2,3,4}",NULL,NULL,True,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
15,"central03","sucsal_c","{C,C,C,C}","{0,1,2,3}",NULL,NULL,True,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
16,"central03","ac_c","{C,C}","{0,1}",NULL,NULL,True,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17,"central03","actp_c","{C,C}","{0,1}",NULL,NULL,True,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18,"central03","acorn_c","{C,C,C,C,C,C,C}","{0,1,2,3,4,5,6}",NULL,NULL,True,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
19,"central03","orn_c","{C,C,C,C,C}","{0,1,2,3,4}",NULL,NULL,True,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20,"central03","acg5sa_c","{C,C,C,C,C,C,C}","{0,1,2,3,4,5,6}",NULL,NULL,True,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
21,"central03","ac_p","{C,C}","{0,1}",NULL,NULL,True,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
22,"central03","ac_e","{C,C}","{0,1}",NULL,NULL,True,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
23,"central03","amp_c","{C,C,C,C,C,C,C,C,C,C}","{0,1,2,3,4,5,6,7,8,9}",NULL,NULL,True,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
24,"central03","atp_c","{C,C,C,C,C,C,C,C,C,C}","{0,1,2,3,4,5,6,7,8,9}",NULL,NULL,True,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
25,"central03","adp_c","{C,C,C,C,C,C,C,C,C,C}","{0,1,2,3,4,5,6,7,8,9}",NULL,NULL,True,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
26,"central03","gtp_c","{C,C,C,C,C,C,C,C,C,C}","{0,1,2,3,4,5,6,7,8,9}",NULL,NULL,True,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
27,"central03","gdp_c","{C,C,C,C,C,C,C,C,C,C}","{0,1,2,3,4,5,6,7,8,9}",NULL,NULL,True,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
28,"central03","3psme_c","{C,C,C,C,C,C,C,C,C,C}","{0,1,2,3,4,5,6,7,8,9}",NULL,NULL,True,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
29,"central03","chor_c","{C,C,C,C,C,C,C,C,C,C}","{0,1,2,3,4,5,6,7,8,9}",NULL,NULL,True,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
30,"central03","acg5p_c","{C,C,C,C,C,C,C}","{0,1,2,3,4,5,6}",NULL,NULL,True,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
31,"central03","ala_DASH_L_c","{C,C,C}","{0,1,2}",NULL,NULL,True,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
32,"central03","ala_DASH_D_c","{C,C,C}","{0,1,2}",NULL,NULL,True,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
33,"central03","pyr_c","{C,C,C}","{0,1,2}",NULL,NULL,True,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
34,"central03","asp_DASH_L_c","{C,C,C,C}","{0,1,2,3}",NULL,NULL,True,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
35,"central03","citr_DASH_L_c","{C,C,C,C,C,C}","{0,1,2,3,4,5}",NULL,NULL,True,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
36,"central03","argsuc_c","{C,C,C,C,C,C,C,C,C,C}","{0,1,2,3,4,5,6,7,8,9}",NULL,NULL,True,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
37,"central03","asn_DASH_L_c","{C,C,C,C}","{0,1,2,3}",NULL,NULL,True,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
