"id","model_id","met_name","met_id","formula","charge","compartment","bound","constraint_sense","used_","comment_","lower_bound","upper_bound","balanced","fixed"
1,"140407_iDM2014","p-Cresol","4crsol_c","C7H8O",0,NULL,"0","E",True,NULL,NULL,NULL,NULL,NULL
2,"140407_iDM2014","5'-deoxyribose","5drib_c","C5H10O4",0,NULL,"0","E",True,NULL,NULL,NULL,NULL,NULL
3,"140407_iDM2014","S-Adenosyl-4-methylthio-2-oxobutanoate","amob_c","C15H19N5O6S",0,NULL,"0","E",True,NULL,NULL,NULL,NULL,NULL
4,"140407_iDM2014","(2R,4S)-2-methyl-2,3,3,4-tetrahydroxytetrahydrofuran","mththf_c","C5H10O5",0,NULL,"0","E",True,NULL,NULL,NULL,NULL,NULL
5,"140407_iDM2014","[2Fe-2S] iron-sulfur cluster","2fe2s_c","Fe2S2",2,NULL,"0","E",True,NULL,NULL,NULL,NULL,NULL
6,"140407_iDM2014","Ubiquinol-8","q8h2_c","C49H76O4",0,NULL,"0","E",True,NULL,NULL,NULL,NULL,NULL
7,"140407_iDM2014","Riboflavin","ribflv_c","C17H20N4O6",0,NULL,"0","E",True,NULL,NULL,NULL,NULL,NULL
8,"140407_iDM2014","phosphatidylethanolamine (dioctadec-11-enoyl, n-C18:1)","pe181_p","C41H78NO8P",0,NULL,"0","E",True,NULL,NULL,NULL,NULL,NULL
9,"140407_iDM2014","Molybdate","mobd_c","MoO4",-2,NULL,"0","E",True,NULL,NULL,NULL,NULL,NULL
10,"140407_iDM2014","phosphatidylethanolamine (dihexadec-9enoyl, n-C16:1)","pe161_p","C37H70NO8P",0,NULL,"0","E",True,NULL,NULL,NULL,NULL,NULL
11,"140407_iDM2014","L-Glutamine","gln_DASH_L_c","C5H10N2O3",0,NULL,"0","E",True,NULL,NULL,NULL,NULL,NULL
12,"140407_iDM2014","bis-molybdopterin guanine dinucleotide","bmocogdp_c","C40H44MoN20O27P4S4",-4,NULL,"0","E",True,NULL,NULL,NULL,NULL,NULL
