"id","model_id","rxn_id","rxn_name","equation","subsystem","gpr","genes","reactants_stoichiometry","products_stoichiometry","reactants_ids","products_ids","lower_bound","upper_bound","objective_coefficient","flux_units","fixed","free","reversibility","weight","used_","comment_"
628,"140407_iDM2014","DM_4CRSOL",NULL,"4crsol_c --> ","","","{}","{-1}","{}","{4crsol_c}","{}","0","1000","0","mmol*gDW-1*hr-1",NULL,NULL,False,NULL,True,NULL
629,"140407_iDM2014","DM_5DRIB",NULL,"5drib_c --> ","","","{}","{-1}","{}","{5drib_c}","{}","0","1000","0","mmol*gDW-1*hr-1",NULL,NULL,False,NULL,True,NULL
630,"140407_iDM2014","DM_AMOB",NULL,"amob_c --> ","","","{}","{-1}","{}","{amob_c}","{}","0","1000","0","mmol*gDW-1*hr-1",NULL,NULL,False,NULL,True,NULL
631,"140407_iDM2014","DM_MTHTHF",NULL,"mththf_c --> ","","","{}","{-1}","{}","{mththf_c}","{}","0","1000","0","mmol*gDW-1*hr-1",NULL,NULL,False,NULL,True,NULL
632,"140407_iDM2014","Ec_biomass_iJO1366_WT_53p95M",NULL,"0.005707 pg160_c + 0.000168 coa_c + 3e-06 lipopb_c + 0.000307 ni2_c + 5.5e-05 udcpdp_c + 0.004957 pe181_c + 0.000112 nadp_c + 0.140101 utp_c + 0.008253 mg2_c + 2.4e-05 cobalt2_c + 0.234232 asp_DASH_L_c + 0.002288 pg181_c + 0.154187 glycogen_c + 9.8e-05 succoa_c + 48.752916 h2o_c + 0.031798 pe160_p + 0.000223 gthrd_c + 3.1e-05 malcoa_c + 0.209684 ser_DASH_L_c + 0.234232 asn_DASH_L_c + 0.000223 amet_c + 0.595297 gly_c + 0.000605 murein3px4p_p + 0.055234 trp_DASH_L_c + 0.03327 ptrc_c + 0.006388 fe2_c + 0.000223 thf_c + 7e-06 mocogdp_c + 0.000223 fad_c + 0.004126 so4_c + 0.411184 val_DASH_L_c + 0.18569 k_c + 0.005381 murein4p4p_p + 0.000223 adocbl_c + 0.005448 murein4px4p_p + 0.004952 ca2_c + 2.5e-05 2fe2s_c + 0.000335 nadph_c + 4.5e-05 nadh_c + 0.000674 cu2_c + 7e-06 mococdp_c + 0.000223 pheme_c + 0.004439 pg161_c + 0.012747 pe181_p + 0.282306 ile_DASH_L_c + 0.000223 chor_c + 0.000223 q8h2_c + 0.008151 colipa_e + 0.333448 lys_DASH_L_c + 0.000223 enter_c + 0.000223 mlthf_c + 0.000223 thmpp_c + 0.28742 arg_DASH_L_c + 2e-06 btn_c + 0.000223 hemeO_c + 0.499149 ala_DASH_L_c + 0.246506 thr_DASH_L_c + 0.088988 cys_DASH_L_c + 0.001787 nad_c + 0.180021 phe_DASH_L_c + 0.025612 dctp_c + 0.149336 met_DASH_L_c + 0.012366 pe160_c + 0.209121 gtp_c + 0.437778 leu_DASH_L_c + 0.007428 fe3_c + 0.092056 his_DASH_L_c + 0.009618 pe161_c + 0.000223 10fthf_c + 0.024805 datp_c + 0.000223 5mthf_c + 0.000673 murein4px4px4p_p + 0.024805 dttp_c + 0.000223 ribflv_c + 0.000223 pydx5p_c + 0.000324 zn2_c + 0.004952 cl_c + 0.000223 sheme_c + 0.001345 murein3p3p_p + 0.004892 pg160_p + 0.129799 ctp_c + 0.255712 glu_DASH_L_c + 0.214798 pro_DASH_L_c + 0.025612 dgtp_c + 7e-06 mobd_c + 0.255712 gln_DASH_L_c + 0.001961 pg181_p + 0.000658 mn2_c + 0.000223 2dmmql8_c + 0.024732 pe161_p + 0.000248 4fe4s_c + 0.00118 clpn181_p + 0.012379 nh4_c + 0.000223 mql8_c + 0.003805 pg161_p + 0.000279 accoa_c + 54.119975 atp_c + 0.133993 tyr_DASH_L_c + 0.006744 spmd_c + 0.002944 clpn160_p + 0.000116 bmocogdp_c + 0.00229 clpn161_p --> 0.749831 ppi_c + 53.95 adp_c + 53.945874 pi_c + 53.95 h_c","","","{}","{-0.005707,-0.000168,-3e-006,-0.000307,-5.5e-005,-0.004957,-0.000112,-0.140101,-0.008253,-2.4e-005,-0.234232,-0.002288,-0.154187,-9.8e-005,-48.752916,-0.031798,-0.000223,-3.1e-005,-0.209684,-0.234232,-0.000223,-0.595297,-0.000605,-0.055234,-0.03327,-0.006388,-0.000223,-7e-006,-0.000223,-0.004126,-0.411184,-0.18569,-0.005381,-0.000223,-0.005448,-0.004952,-2.5e-005,-0.000335,-4.5e-005,-0.000674,-7e-006,-0.000223,-0.004439,-0.012747,-0.282306,-0.000223,-0.000223,-0.008151,-0.333448,-0.000223,-0.000223,-0.000223,-0.28742,-2e-006,-0.000223,-0.499149,-0.246506,-0.088988,-0.001787,-0.180021,-0.025612,-0.149336,-0.012366,-0.209121,-0.437778,-0.007428,-0.092056,-0.009618,-0.000223,-0.024805,-0.000223,-0.000673,-0.024805,-0.000223,-0.000223,-0.000324,-0.004952,-0.000223,-0.001345,-0.004892,-0.129799,-0.255712,-0.214798,-0.025612,-7e-006,-0.255712,-0.001961,-0.000658,-0.000223,-0.024732,-0.000248,-0.00118,-0.012379,-0.000223,-0.003805,-0.000279,-54.119975,-0.133993,-0.006744,-0.002944,-0.000116,-0.00229}","{0.749831,53.95,53.945874,53.95}","{pg160_c,coa_c,lipopb_c,ni2_c,udcpdp_c,pe181_c,nadp_c,utp_c,mg2_c,cobalt2_c,asp_DASH_L_c,pg181_c,glycogen_c,succoa_c,h2o_c,pe160_p,gthrd_c,malcoa_c,ser_DASH_L_c,asn_DASH_L_c,amet_c,gly_c,murein3px4p_p,trp_DASH_L_c,ptrc_c,fe2_c,thf_c,mocogdp_c,fad_c,so4_c,val_DASH_L_c,k_c,murein4p4p_p,adocbl_c,murein4px4p_p,ca2_c,2fe2s_c,nadph_c,nadh_c,cu2_c,mococdp_c,pheme_c,pg161_c,pe181_p,ile_DASH_L_c,chor_c,q8h2_c,colipa_e,lys_DASH_L_c,enter_c,mlthf_c,thmpp_c,arg_DASH_L_c,btn_c,hemeO_c,ala_DASH_L_c,thr_DASH_L_c,cys_DASH_L_c,nad_c,phe_DASH_L_c,dctp_c,met_DASH_L_c,pe160_c,gtp_c,leu_DASH_L_c,fe3_c,his_DASH_L_c,pe161_c,10fthf_c,datp_c,5mthf_c,murein4px4px4p_p,dttp_c,ribflv_c,pydx5p_c,zn2_c,cl_c,sheme_c,murein3p3p_p,pg160_p,ctp_c,glu_DASH_L_c,pro_DASH_L_c,dgtp_c,mobd_c,gln_DASH_L_c,pg181_p,mn2_c,2dmmql8_c,pe161_p,4fe4s_c,clpn181_p,nh4_c,mql8_c,pg161_p,accoa_c,atp_c,tyr_DASH_L_c,spmd_c,clpn160_p,bmocogdp_c,clpn161_p}","{ppi_c,adp_c,pi_c,h_c}","0","1000","1","mmol*gDW-1*hr-1",NULL,NULL,False,NULL,True,NULL
633,"140407_iDM2014","EX_5mtr_LPAREN_e_RPAREN_",NULL,"5mtr_e --> ","","","{}","{-1}","{}","{5mtr_e}","{}","0","1000","0","mmol*gDW-1*hr-1",NULL,NULL,False,NULL,True,NULL
634,"140407_iDM2014","EX_ac_LPAREN_e_RPAREN_",NULL,"ac_e --> ","","","{}","{-1}","{}","{ac_e}","{}","0","1000","0","mmol*gDW-1*hr-1",NULL,NULL,False,NULL,True,NULL
635,"140407_iDM2014","EX_co2_LPAREN_e_RPAREN_",NULL,"co2_e --> ","","","{}","{-1}","{}","{co2_e}","{}","0","1000","0","mmol*gDW-1*hr-1",NULL,NULL,False,NULL,True,NULL
636,"140407_iDM2014","EX_etoh_LPAREN_e_RPAREN_",NULL,"etoh_e --> ","","","{}","{-1}","{}","{etoh_e}","{}","0","1000","0","mmol*gDW-1*hr-1",NULL,NULL,False,NULL,True,NULL
637,"140407_iDM2014","EX_for_LPAREN_e_RPAREN_",NULL,"for_e --> ","","","{}","{-1}","{}","{for_e}","{}","0","1000","0","mmol*gDW-1*hr-1",NULL,NULL,False,NULL,True,NULL
