"id","experiment_id","sample_name_abbreviation","met_id","met_name","isotopomer_formula","met_elements","met_atompositions","ratio","supplier","supplier_reference","purity","comment_"
7,"WTEColi_113C80_U13C20_01","OxicWtGlc","glc_DASH_D_e","1-13C_D-Glucose","{[13C]HO,CH2O,CH2O,CH2O,CH2O,CH3O}","{C}","{1}","0.8","Cambridge Isotope Laboratories, Inc","CLM-420-PK","0.99",NULL
8,"WTEColi_113C80_U13C20_01","OxicWtGlc","glc_DASH_D_e","U-13C_D-Glucose","{[13C]HO,[13C]H2O,[13C]H2O,[13C]H2O,[13C]H2O,[13C]H3O}","{C,C,C,C,C,C}","{1,2,3,4,5,6}","0.2","Cambridge Isotope Laboratories, Inc","CLM-1396-PK ","0.99",NULL
9,"WTEColi12C01","OxicWtGlc","glc_DASH_D_e","D-Glucose","{CHO,CH2O,CH2O,CH2O,CH2O,CH3O}",NULL,NULL,"1","Sigma-Aldrich","G8270","0.995",NULL
10,"WTEColi12C02","OxicWtGlc","glc_DASH_D_e","D-Glucose","{CHO,CH2O,CH2O,CH2O,CH2O,CH3O}",NULL,NULL,"1","Sigma-Aldrich","G8270","0.995",NULL
21,"WTEColi_optTrDesign","1-13C80_U-13C20","glc_DASH_D_e","1-13C_D-Glucose","{[13C]HO,CH2O,CH2O,CH2O,CH2O,CH3O}","{C}","{1}","0.8","Cambridge Isotope Laboratories, Inc","CLM-420-PK","0.99",NULL
22,"WTEColi_optTrDesign","1-13C80_U-13C20","glc_DASH_D_e","U-13C_D-Glucose","{[13C]HO,[13C]H2O,[13C]H2O,[13C]H2O,[13C]H2O,[13C]H3O}","{C,C,C,C,C,C}","{1,2,3,4,5,6}","0.2","Cambridge Isotope Laboratories, Inc","CLM-1396-PK ","0.99",NULL
23,"WTEColi_optTrDesign","1-13C","glc_DASH_D_e","1-13C_D-Glucose","{[13C]HO,CH2O,CH2O,CH2O,CH2O,CH3O}","{C}","{1}","1",NULL,NULL,"0.99",NULL
24,"WTEColi_optTrDesign","2-13C","glc_DASH_D_e","2-13C_D-Glucose","{CHO,[13C]H2O,CH2O,CH2O,CH2O,CH3O}","{C}","{2}","1",NULL,NULL,"0.99",NULL
25,"WTEColi_optTrDesign","3-13C","glc_DASH_D_e","3-13C_D-Glucose","{CHO,CH2O,[13C]H2O,CH2O,CH2O,CH3O}","{C}","{3}","1",NULL,NULL,"0.99",NULL
26,"WTEColi_optTrDesign","4-13C","glc_DASH_D_e","4-13C_D-Glucose","{CHO,CH2O,CH2O,[13C]H2O,CH2O,CH3O}","{C}","{4}","1",NULL,NULL,"0.99",NULL
27,"WTEColi_optTrDesign","5-13C","glc_DASH_D_e","5-13C_D-Glucose","{CHO,CH2O,CH2O,CH2O,[13C]H2O,CH3O}","{C}","{5}","1",NULL,NULL,"0.99",NULL
28,"WTEColi_optTrDesign","6-13C","glc_DASH_D_e","6-13C_D-Glucose","{CHO,CH2O,CH2O,CH2O,CH2O,[13C]H3O}","{C}","{6}","1",NULL,NULL,"0.99",NULL
29,"WTEColi_optTrDesign","1-2-13C","glc_DASH_D_e","1-2-13C_D-Glucose","{[13C]HO,[13C]H2O,CH2O,CH2O,CH2O,CH3O}","{C,C}","{1,2}","1",NULL,NULL,"0.99",NULL
30,"WTEColi_optTrDesign","2-3-13C","glc_DASH_D_e","2-3-13C_D-Glucose","{CHO,[13C]H2O,[13C]H2O,CH2O,CH2O,CH3O}","{C,C}","{2,3}","1",NULL,NULL,"0.99",NULL
31,"WTEColi_optTrDesign","3-4-13C","glc_DASH_D_e","3-4-13C_D-Glucose","{CHO,CH2O,[13C]H2O,[13C]H2O,CH2O,CH3O}","{C,C}","{3,4}","1",NULL,NULL,"0.99",NULL
