"q1_mass","q3_mass","ms3_mass","met_name","dp","ep","ce","cxp","af","quantifier","ms_mode","ion_intensity_rank","ion_abundance","precursor_formula","product_ion_reference","product_formula","production_ion_notes","met_id","external_reference","q1_mass_units","q3_mass_units","ms3_mass_units","threshold_units","dp_units","ep_units","ce_units","cxp_units","af_units","ms_group","threshold","dwell_weight","component_name","ms_include","ms_is","precursor_fragment","product_fragment","precursor_exactmass","product_exactmass","ms_methodtype","id","precursor_fragment_elements","product_fragment_elements"
"150","133",NULL,"L-Methionine","32","10","11.7","9.1",NULL,NULL,"+",NULL,"390000","C5H12NO2S+",NULL,NULL,NULL,"met-L",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","met-L","5000","1",NULL,False,False,NULL,NULL,"150.0588743",NULL,"tuning",38,NULL,NULL
"116","75",NULL,"L-Proline","28","10","13.6","9",NULL,NULL,"+",NULL,"66000","C5H10NO2+",NULL,NULL,NULL,"pro-L",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","pro-L","5000","1",NULL,False,False,NULL,NULL,"116.0711536",NULL,"tuning",39,NULL,NULL
"120","74",NULL,"L-Threonine","30.3","10","13.4","9",NULL,NULL,"+",NULL,"200000","C4H10NO3+",NULL,NULL,NULL,"thr-L",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","thr-L","5000","1",NULL,False,False,NULL,NULL,"120.0660682",NULL,"tuning",40,NULL,NULL
"161","35",NULL,"5-Hydroxy-L-lysine","-13","-10","-34.8","-7.6",NULL,NULL,"-",2,"22000",NULL,NULL,NULL,NULL,"5hlys",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","5hlys","5000","1",NULL,False,False,NULL,NULL,NULL,NULL,"tuning",41,NULL,NULL
"161","115",NULL,"5-Hydroxy-L-lysine","-33","-10","-16.9","-10.5",NULL,NULL,"-",3,"17000",NULL,NULL,NULL,NULL,"5hlys",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","5hlys","5000","1",NULL,False,False,NULL,NULL,NULL,NULL,"tuning",42,NULL,NULL
"117","100",NULL,"2-Ethyl-3-hydroxypropionic acid","-117.9","-10","-29","-8.8",NULL,NULL,"-",2,"180000","C5H9O3-",NULL,"C5H8O2-","Loss of OH","2e3hp","HMDB00397","Da","Da","Da","count","volts","volts","volts","volts","volts","2e3hp","5000","1",NULL,False,False,NULL,NULL,NULL,NULL,"tuning",43,NULL,NULL
"117","71",NULL,"2-methyl-3-hydroxybutyric acid","-59.6","-10","-17.7","-8.4",NULL,NULL,"-",2,"250000","C5H9O3-",NULL,"C3H3O2-","Could also be C4H7O","2m3hb",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","2m3hb","5000","1",NULL,False,False,NULL,NULL,NULL,NULL,"tuning",44,NULL,NULL
"117","100",NULL,"2-methyl-3-hydroxybutyric acid","-101.8","-10","-27","-5",NULL,NULL,"-",3,"140000","C5H9O3-",NULL,"C5H8O2-","Loss of OH","2m3hb",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","2m3hb","5000","1",NULL,False,False,NULL,NULL,NULL,NULL,"tuning",45,NULL,NULL
"117","73",NULL,"2-methyl-3-hydroxybutyric acid","-32","-10","-14.2","-8.2",NULL,NULL,"-",1,"460000","C5H9O3-",NULL,"C3H5O2-","Could also be C4H9O-","2m3hb",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","2m3hb","5000","1",NULL,False,False,NULL,NULL,NULL,NULL,"tuning",46,NULL,NULL
"147","106",NULL,"L-Glutamine","29","10","14.6","5.2",NULL,NULL,"+",NULL,"130000","C5H11N2O3+",NULL,NULL,NULL,"gln-L",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","gln-L","5000","1",NULL,False,False,NULL,NULL,"147.0769672",NULL,"tuning",47,NULL,NULL
