sample_name,sample_name_original,sample_type,sample_group_name,sequence_segment_name,original_filename,batch_name,rack_number,plate_number,pos_number,inj_number,dilution_factor,inj_volume,inj_volume_units,operator_name,acq_method_name,proc_method_name,acquisition_date_and_time,scan_polarity,scan_mass_low,scan_mass_high
GA4_RI_1,Mix 1 STD A,Standard,MixStd,EcoliPputida,GA4_RI_1,b,,,,4,,20,uL,,HPLC_OA_RI,,,positive,0,0
GA5_RI_1,Mix 1 STD B,Standard,MixStd,EcoliPputida,GA5_RI_1,b,,,,5,,20,uL,,HPLC_OA_RI,,,positive,0,0
GA6_RI_1,Mix 1 STD C,Standard,MixStd,EcoliPputida,GA6_RI_1,b,,,,6,,20,uL,,HPLC_OA_RI,,,positive,0,0
GA7_RI_1,Mix 1 STD D,Standard,MixStd,EcoliPputida,GA7_RI_1,b,,,,7,,20,uL,,HPLC_OA_RI,,,positive,0,0
GA8_RI_1,Mix 1 STD E,Standard,MixStd,EcoliPputida,GA8_RI_1,b,,,,8,,20,uL,,HPLC_OA_RI,,,positive,0,0
GA9_RI_1,Mix 1 STD F,Standard,MixStd,EcoliPputida,GA9_RI_1,b,,,,9,,20,uL,,HPLC_OA_RI,,,positive,0,0
GA10_RI_1,Mix 2 STD A,Standard,MixStd,EcoliPputida,GA10_RI_1,b,,,,10,,20,uL,,HPLC_OA_RI,,,positive,0,0
GA11_RI_1,Mix 2 STD B,Standard,MixStd,EcoliPputida,GA11_RI_1,b,,,,11,,20,uL,,HPLC_OA_RI,,,positive,0,0
GA12_RI_1,Mix 2 STD C,Standard,MixStd,EcoliPputida,GA12_RI_1,b,,,,12,,20,uL,,HPLC_OA_RI,,,positive,0,0
GB1_RI_1,Mix 2 STD D,Standard,MixStd,EcoliPputida,GB1_RI_1,b,,,,13,,20,uL,,HPLC_OA_RI,,,positive,0,0
GB2_RI_1,Mix 2 STD E,Standard,MixStd,EcoliPputida,GB2_RI_1,b,,,,14,,20,uL,,HPLC_OA_RI,,,positive,0,0
GB3_RI_1,Mix 2 STD F,Standard,MixStd,EcoliPputida,GB3_RI_1,b,,,,15,,20,uL,,HPLC_OA_RI,,,positive,0,0
GA1_RI_1,Water,Blank,Water,EcoliPputida,GA1_RI_1,b,,,,1,,20,uL,,HPLC_OA_RI,,,positive,0,0
GA2_RI_1,Water,Blank,Water,EcoliPputida,GA2_RI_1,b,,,,2,,20,uL,,HPLC_OA_RI,,,positive,0,0
GA3_RI_1,Water,Blank,Water,EcoliPputida,GA3_RI_1,b,,,,3,,20,uL,,HPLC_OA_RI,,,positive,0,0
GB4_RI_1,Water,Blank,Water,EcoliPputida,GB4_RI_1,b,,,,16,,20,uL,,HPLC_OA_RI,,,positive,0,0
GB5_RI_1,Water,Blank,Water,EcoliPputida,GB5_RI_1,b,,,,17,,20,uL,,HPLC_OA_RI,,,positive,0,0
