"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Disease Progression]"	"Unit"	"Term Source REF"	"Term Accession Number"
"ICR mice_1_4w"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"ICR Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37408"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"ICR mice_1_4w"	"4"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"ICR mice_1_9w"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"ICR Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37408"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"ICR mice_1_9w"	"9"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"ICR mice_1_15w"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"ICR Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37408"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"ICR mice_1_15w"	"15"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"ICR mice_2_4w"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"ICR Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37408"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"ICR mice_2_4w"	"4"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"ICR mice_2_9w"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"ICR Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37408"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"ICR mice_2_9w"	"9"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"ICR mice_2_15w"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"ICR Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37408"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"ICR mice_2_15w"	"15"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"ICR mice_3_4w"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"ICR Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37408"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"ICR mice_3_4w"	"4"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"ICR mice_3_9w"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"ICR Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37408"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"ICR mice_3_9w"	"9"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"ICR mice_3_15w"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"ICR Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37408"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"ICR mice_3_15w"	"15"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"ICR mice_4_4w"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"ICR Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37408"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"ICR mice_4_4w"	"4"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"ICR mice_4_9w"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"ICR Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37408"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"ICR mice_4_9w"	"9"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"ICR mice_4_15w"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"ICR Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37408"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"ICR mice_4_15w"	"15"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"ICR mice_5_4w"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"ICR Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37408"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"ICR mice_5_4w"	"4"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"ICR mice_5_9w"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"ICR Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37408"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"ICR mice_5_9w"	"9"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"ICR mice_5_15w"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"ICR Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37408"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"ICR mice_5_15w"	"15"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"ICR mice_6_4w"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"ICR Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37408"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"ICR mice_6_4w"	"9"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"ICR mice_6_9w"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"ICR Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37408"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"ICR mice_6_9w"	"9"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"ICR mice_6_15w"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"ICR Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37408"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"ICR mice_6_15w"	"15"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"SAMP1 mice_1_4w"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. SAMP1/YitFc"	""	""	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"SAMP1 mice_1_4w"	"4"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"SAMP1 mice_1_9w"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. SAMP1/YitFc"	""	""	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"SAMP1 mice_1_9w"	"9"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
