"id","experiment_id","sample_name_abbreviation","time_point","met_id","fragment_id","fragment_formula","intensity_normalized_average","intensity_normalized_cv","intensity_normalized_stdev","intensity_normalized_units","scan_type","met_elements","met_atompositions","used_","comment_"
5422,"ALEWt01","OxicEvo05Ecoli13CGlc","0","6pgc_c","6pgc_c_C6H10O9P_EPI","C6H10O9P-","{0.0609282255965275,0.688834843597786,0.0930349334949567,0.0464897382775786,0.0342646012270786,0.0121907388128752,0.159263738838684}","{12.7507272068494,5.88831342510017,5.95641559231636,0.733146156952135,7.87585010800115,0,8.9524514246212}","{0.00776879183778701,0.0405607545723362,0.00554154728499476,0.000340837729559173,0.00269862863274903,0,0.0142580088565688}","normSum","EPI","{C,C,C,C,C,C}","{0,1,2,3,4,5}",True,NULL
5423,"ALEWt01","OxicEvo05Ecoli13CGlc","0","6pgc_c","6pgc_c_C6H12O10P_EPI","C6H12O10P-","{0.0582621899675458,0.657751081201118,0.0947196507876175,0.0437950288041392,0.0262372929285909,0.012571764607216,0.152079589716227}","{14.3647687479896,7.3218908065116,19.5937001262054,7.05591431345371,56.9742085546527,4.15674844324637,9.90322915373453}","{0.00836922885635235,0.0481598159441953,0.0185590843359147,0.00309013970597243,0.0149484899922305,0.000522576629599049,0.0150607902656573}","normSum","EPI","{C,C,C,C,C,C}","{0,1,2,3,4,5}",True,NULL
5424,"ALEWt01","OxicEvo05Ecoli13CGlc","0","accoa_c","accoa_c_C10H12N5O9P2_EPI","C10H12N5O9P2-","{0.0469230320976754,0.157652360655744,0.274576040080909,0.231309275641288,0.149803885067022,0.0768372641837187,0.0422716518784692,0.0197119189353138,0.00629983692361831,0,0}","{40.8091854831758,13.3559302360608,11.6243422073028,9.46196202496089,14.3441479351052,31.6273019983301,44.3795387453625,48.0442233160177,14.2469964740571,0,0}","{0.0191489072030705,0.0210559393046841,0.0319176585182658,0.0218863958213908,0.0214880908865486,0.0243015535906394,0.01875996412371,0.00947043835315454,0.000897537544379248,0,0}","normSum","EPI","{C,C,C,C,C,C,C,C,C,C}","{0,1,2,3,4,5,6,7,8,9}",True,NULL
5425,"ALEWt01","OxicEvo05Ecoli13CGlc","0","accoa_c","accoa_c_C10H14N5O10P2_EPI","C10H14N5O10P2-","{0.041556838805125,0.178443950478409,0.247245432951371,0.236916007094631,0.146944997450523,0.0881436619808741,0.0523865869047659,0.0186373019225481,0.0280125252203874,0,0}","{42.0158124008821,13.232004723194,14.3768587229067,10.6389910114079,21.9297960278858,32.858234794103,52.6039300391517,62.7948632428136,0,0,0}","{0.0174604434320983,0.023611711955557,0.0355461265942576,0.0252054726993843,0.0322247382140817,0.0289624514097961,0.0275574035252825,0.0117032682544143,0,0,0}","normSum","EPI","{C,C,C,C,C,C,C,C,C,C}","{0,1,2,3,4,5,6,7,8,9}",True,NULL
5426,"ALEWt01","OxicEvo05Ecoli13CGlc","0","accoa_c","accoa_c_C13H23N2O10P2S_EPI","C13H23N2O10P2S-","{0.0184194197668662,0.0130499464673019,0.0688268798501882,0.168038308426747,0.221491701065031,0.231164906739688,0.172937455059922,0.0848855826325123,0.0363900352061938,0.0150505969276512,0,0,0.007420501033129,0}","{22.6701007020252,31.0986718998407,27.7957312957821,26.6082257153677,8.40366467886518,10.2183928137433,7.88246350219745,19.7259693050089,55.5124885705453,20.6146608187807,0,0,11.7962131809187,0}","{0.0041757010098773,0.00405836003497107,0.0191309345824291,0.0447120123944746,0.0186134198490197,0.0236213382181847,0.0136317317767275,0.0167445039744673,0.0202010141346557,0.00310262950783712,0,0,0.000875338120960171,0}","normSum","EPI","{C,C,C,C,C,C,C,C,C,C,C,C,C}","{10,11,12,13,14,15,16,17,18,19,20,21,22}",True,NULL
5427,"ALEWt01","OxicEvo05Ecoli13CGlc","0","acon_DASH_C_c","acon_DASH_C_c_C4H3O4_EPI","C4H3O4-","{0.537136561099112,0.292675840968084,0.0873867622519936,0.0232321808115894,0.10702515171923}","{7.3105808806073,11.2646320536086,21.3312920690033,61.1860864772003,81.3721593556389}","{0.0392678027384632,0.0329688565948593,0.0186407254856183,0.0142148622419186,0.0870886770075861}","normSum","EPI","{C,C,C,C}","{2,3,4,5}",True,NULL
5428,"ALEWt01","OxicEvo05Ecoli13CGlc","0","acon_DASH_C_c","acon_DASH_C_c_C4H5O2_EPI","C4H5O2-","{0.315818425236913,0.36814437533486,0.233531342317086,0.063615982147062,0.0226678499568941}","{17.1565686647042,7.56860972483777,25.6895114698739,20.6463416369134,57.2705781211472}","{0.0541836049815585,0.0278634109930375,0.0599930609702983,0.0131343730097603,0.0129820087179475}","normSum","EPI","{C,C,C,C}","{0,1,2,3}",True,NULL
5429,"ALEWt01","OxicEvo05Ecoli13CGlc","0","acon_DASH_C_c","acon_DASH_C_c_C5H3O3_EPI","C5H3O3-","{0.119902095146119,0.165249758378077,0.162450331930297,0.124322914102642,0.262316387493682,0.165758512949184}","{37.8621897902854,6.73851442778043,24.3950759055485,13.6931570820515,18.5282934316944,15.495368467874}","{0.0453975588267522,0.011135378810179,0.0396298817832114,0.0170237319170587,0.0486027499942499,0.0256848923483447}","normSum","EPI","{C,C,C,C,C}","{0,1,2,3,4}",True,NULL
5430,"ALEWt01","OxicEvo05Ecoli13CGlc","0","acon_DASH_C_c","acon_DASH_C_c_C5H5O4_EPI","C5H5O4-","{0.173862471486064,0.246456431992704,0.249230508410285,0.230119056431933,0.0835821531365371,0.0251240678137161}","{24.8369003560623,30.1304778133626,11.1137365556304,20.1085951776484,43.6257156376854,55.5403533430539}","{0.043182048799581,0.0742585005611668,0.0276988221209773,0.0462737094845217,0.0364633124512004,0.0139539960378864}","normSum","EPI","{C,C,C,C,C}","{0,1,2,3,4}",True,NULL
5431,"ALEWt01","OxicEvo05Ecoli13CGlc","0","acon_DASH_C_c","acon_DASH_C_c_C6H3O5_EPI","C6H3O5-","{0.143415672156985,0.265027137962277,0.27746089666043,0.198614807362079,0.10479024442151,0.0329433212116532,0.00422108698356113}","{8.61701227665156,7.7797680582153,7.95526743439885,8.94502884874819,8.50614437354466,44.5434373538775,0}","{0.0123581460764098,0.0206184966247914,0.0220727563552182,0.0177661518164236,0.00891360947988397,0.0146740876461994,0}","normSum","EPI","{C,C,C,C,C,C}","{0,1,2,3,4,5}",True,NULL
