"id","experiment_id","model_id","sample_name_abbreviation","rxn_id","flux_average","flux_stdev","flux_lb","flux_ub","flux_units","used_","comment_"
1,"WTEColi_113C80_U13C20_01","140407_iDM2014","OxicWtGlc","Ec_biomass_iJO1366_WT_53p95M","0.704","0.008","0.6336","0.7744","hr-1",True,"from ALE 37C"
2,"WTEColi_113C80_U13C20_01","140407_iDM2014","OxicWtGlc","EX_ac_LPAREN_e_RPAREN_","2.13","0.5","1.917","2.343","mmol*gDCW-1*hr-1",True,"from ALE 37C"
4,"WTEColi_113C80_U13C20_01","ecoli_inca03","OxicWtGlc","Ec_Biomass_INCA","0.704","0.008","0.6336","0.7744","hr-1",True,NULL
5,"WTEColi_113C80_U13C20_01","ecoli_inca03","OxicWtGlc","EX_ac_LPAREN_e_RPAREN_","2.13","0.5","1.917","2.343","mmol*gDCW-1*hr-1",True,NULL
6,"WTEColi_113C80_U13C20_01","ecoli_inca03","OxicWtGlc","EX_glc_LPAREN_e_RPAREN_","7.4","0.2","6.66","8.14","mmol*gDCW-1*hr-1",True,NULL
7,"WTEColi_113C80_U13C20_01","ecoli_RL2013_02","OxicWtGlc","Ec_Biomass_INCA","0.704","0.008","0.6336","0.7744","hr-1",True,NULL
8,"WTEColi_113C80_U13C20_01","ecoli_RL2013_02","OxicWtGlc","EX_ac_LPAREN_e_RPAREN_","2.13","0.5","1.917","2.343","mmol*gDCW-1*hr-1",True,NULL
9,"WTEColi_113C80_U13C20_01","ecoli_RL2013_02","OxicWtGlc","EX_glc_LPAREN_e_RPAREN_","7.4","0.2","6.66","8.14","mmol*gDCW-1*hr-1",True,NULL
3,"WTEColi_113C80_U13C20_01","140407_iDM2014","OxicWtGlc","EX_glc_LPAREN_e_RPAREN_","7.4","0.2","6.66","8.14","mmol*gDCW-1*hr-1",True,"from ALE 37C"
53,"WTEColi_113C80_U13C20_01","ecoli_core_iDM2014_01","OxicWtGlc","EX_ac_LPAREN_e_RPAREN_","2.13","0.5","1.917","2.343","mmol*gDCW-1*hr-1",True,"from ALE 37C"
54,"WTEColi_113C80_U13C20_01","ecoli_core_iDM2014_01","OxicWtGlc","EX_glc_LPAREN_e_RPAREN_","7.4","0.2","6.66","8.14","mmol*gDCW-1*hr-1",True,"from ALE 37C"
52,"WTEColi_113C80_U13C20_01","ecoli_core_iDM2014_01","OxicWtGlc","Ec_biomass_INCA","0.704","0.008","0.6336","0.7744","hr-1",True,"from ALE 37C"
49,"WTEColi_113C80_U13C20_01","iJS2012","OxicWtGlc","Ec_biomass_iJO1366_WT_53p95M","0.704","0.008","0.6336","0.7744","hr-1",True,"from ALE 37C"
50,"WTEColi_113C80_U13C20_01","iJS2012","OxicWtGlc","EX_ac_LPAREN_e_RPAREN_","2.13","0.5","1.917","2.343","mmol*gDCW-1*hr-1",True,"from ALE 37C"
51,"WTEColi_113C80_U13C20_01","iJS2012","OxicWtGlc","EX_glc_LPAREN_e_RPAREN_","7.4","0.2","6.66","8.14","mmol*gDCW-1*hr-1",True,"from ALE 37C"
71,"WTEColi_optTrDesign","ecoli_core_iDM2014_01","1-13C80_U-13C20","EX_ac_LPAREN_e_RPAREN_","2.13","0.5","1.917","2.343","mmol*gDCW-1*hr-1",True,"from ALE 37C"
72,"WTEColi_optTrDesign","ecoli_core_iDM2014_01","1-13C","EX_ac_LPAREN_e_RPAREN_","2.13","0.5","1.917","2.343","mmol*gDCW-1*hr-1",True,"from ALE 37C"
73,"WTEColi_optTrDesign","ecoli_core_iDM2014_01","2-13C","EX_ac_LPAREN_e_RPAREN_","2.13","0.5","1.917","2.343","mmol*gDCW-1*hr-1",True,"from ALE 37C"
74,"WTEColi_optTrDesign","ecoli_core_iDM2014_01","3-13C","EX_ac_LPAREN_e_RPAREN_","2.13","0.5","1.917","2.343","mmol*gDCW-1*hr-1",True,"from ALE 37C"
75,"WTEColi_optTrDesign","ecoli_core_iDM2014_01","4-13C","EX_ac_LPAREN_e_RPAREN_","2.13","0.5","1.917","2.343","mmol*gDCW-1*hr-1",True,"from ALE 37C"
76,"WTEColi_optTrDesign","ecoli_core_iDM2014_01","5-13C","EX_ac_LPAREN_e_RPAREN_","2.13","0.5","1.917","2.343","mmol*gDCW-1*hr-1",True,"from ALE 37C"
77,"WTEColi_optTrDesign","ecoli_core_iDM2014_01","6-13C","EX_ac_LPAREN_e_RPAREN_","2.13","0.5","1.917","2.343","mmol*gDCW-1*hr-1",True,"from ALE 37C"
78,"WTEColi_optTrDesign","ecoli_core_iDM2014_01","1-2-13C","EX_ac_LPAREN_e_RPAREN_","2.13","0.5","1.917","2.343","mmol*gDCW-1*hr-1",True,"from ALE 37C"
79,"WTEColi_optTrDesign","ecoli_core_iDM2014_01","2-3-13C","EX_ac_LPAREN_e_RPAREN_","2.13","0.5","1.917","2.343","mmol*gDCW-1*hr-1",True,"from ALE 37C"
80,"WTEColi_optTrDesign","ecoli_core_iDM2014_01","3-4-13C","EX_ac_LPAREN_e_RPAREN_","2.13","0.5","1.917","2.343","mmol*gDCW-1*hr-1",True,"from ALE 37C"
81,"WTEColi_optTrDesign","ecoli_core_iDM2014_01","4-5-13C","EX_ac_LPAREN_e_RPAREN_","2.13","0.5","1.917","2.343","mmol*gDCW-1*hr-1",True,"from ALE 37C"
82,"WTEColi_optTrDesign","ecoli_core_iDM2014_01","5-6-13C","EX_ac_LPAREN_e_RPAREN_","2.13","0.5","1.917","2.343","mmol*gDCW-1*hr-1",True,"from ALE 37C"
83,"WTEColi_optTrDesign","ecoli_core_iDM2014_01","1-6-13C","EX_ac_LPAREN_e_RPAREN_","2.13","0.5","1.917","2.343","mmol*gDCW-1*hr-1",True,"from ALE 37C"
84,"WTEColi_optTrDesign","ecoli_core_iDM2014_01","2-5-13C","EX_ac_LPAREN_e_RPAREN_","2.13","0.5","1.917","2.343","mmol*gDCW-1*hr-1",True,"from ALE 37C"
85,"WTEColi_optTrDesign","ecoli_core_iDM2014_01","1-2-3-13C","EX_ac_LPAREN_e_RPAREN_","2.13","0.5","1.917","2.343","mmol*gDCW-1*hr-1",True,"from ALE 37C"
