"database_identifier"	"chemical_formula"	"smiles"	"inchi"	"metabolite_identification"	"chemical_shift"	"multiplicity"	"taxid"	"species"	"database"	"database_version"	"reliability"	"uri"	"search_engine"	"search_engine_score"	"smallmolecule_abundance_sub"	"smallmolecule_abundance_stdev_sub"	"smallmolecule_abundance_std_error_sub"	"ICR mice_1_4w"	"ICR mice_1_9w"	"ICR mice_1_15w"	"ICR mice_2_4w"	"ICR mice_2_9w"	"ICR mice_2_15w"	"ICR mice_3_4w"	"ICR mice_3_9w"	"ICR mice_3_15w"	"ICR mice_4_4w"	"ICR mice_4_9w"	"ICR mice_4_15w"	"ICR mice_5_4w"	"ICR mice_5_9w"	"ICR mice_5_15w"	"ICR mice_6_4w"	"ICR mice_6_9w"	"ICR mice_6_15w"	"SAMP1 mice_1_4w"	"SAMP1 mice_1_9w"	"SAMP1 mice_1_15w"	"SAMP1 mice_2_4w"	"SAMP1 mice_2_9w"	"SAMP1 mice_2_15w"	"SAMP1 mice_3_4w"	"SAMP1 mice_3_9w"	"SAMP1 mice_3_15w"	"SAMP1 mice_4_4w"	"SAMP1 mice_4_9w"	"SAMP1 mice_4_15w"	"SAMP1 mice_5_4w"	"SAMP1 mice_5_9w"	"SAMP1 mice_5_15w"	"SAMP1 mice_6_4w"	"SAMP1 mice_6_9w"	"SAMP1 mice_6_15w"	"SAMP1 mice_7_4w"	"SAMP1 mice_7_9w"	"SAMP1 mice_7_15w"	"SAMP1 mice_8_4w"	"SAMP1 mice_8_9w"	"SAMP1 mice_8_15w"
"CHEBI:28044"	"C9H11NO2"	"NC(Cc1ccccc1)C(O)=O"	"InChI=1S/C9H11NO2/c10-8(9(11)12)6-7-4-2-1-3-5-7/h1-5,8H,6,10H2,(H,11,12)"	"phenylalanine"	"3.11(dd),3.27(dd),3.99(dd),7.32(m),7.36(m),7.42(m)"	""	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"CHEBI:18186"	"C9H11NO3"	"NC(Cc1ccc(O)cc1)C(O)=O"	"InChI=1S/C9H11NO3/c10-8(9(12)13)5-6-1-3-7(11)4-2-6/h1-4,8,11H,5,10H2,(H,12,13)"	"tyrosine"	"3.04(dd),3.19(dd),3.93(dd),6.89(m),7.18(m)"	""	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"CHEBI:17234"	"C6H12O6"	""	""	"glucose"	"3.23(dd),3.40(t),3.40(t),3.45(m),3.48(t),3.52(dd),3.70(t),3.72(dd),3.76(dd),3.82(m),3.83(dd),3.89(dd),4.64(d),5.22(d)"	""	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus"	""	""	""	""	""	""	""	""	""	"1.1592"	"1.0712"	"0.5246"	"1.6249"	"1.7557"	"0.3951"	"1.4532"	"1.5138"	"0.7016"	"1.4655"	"0.9125"	"0.4731"	"0.9276"	"0.8029"	"0.9703"	"1.1257"	"1.3133"	"0.8596"	"0.9508"	"0.2995"	"0.4131"	"1.0188"	"0.6189"	"0.5364"	"0.8446"	"0.6523"	"0.7548"	"0.759"	"0.4089"	"0.6252"	"1.3259"	"0.6616"	"0.4915"	"0.7592"	"0.4278"	"0.3994"	"1.0121"	"0.235"	"0.4225"	"1.2984"	"0.6716"	"0.4803"
"CHEBI:18222"	"C5H10O5"	""	""	"Xylose"	"3.22(dd),3.31(t),3.43(t),3.52(dd),3.60(m),3.62(m),3.66(t),3.67(t),3.69(dd),3.92(dd),4.57(d),5.19(d)"	""	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus"	""	""	""	""	""	""	""	""	""	"0.177"	"0.0877"	"0.1138"	"0.2042"	"0.1609"	"0.087"	"0.3684"	"0.1773"	"0.1159"	"0.2184"	"0.0864"	"0.1042"	"0.1908"	"0.113"	"0.1606"	"0.1419"	"0.1407"	"0.1296"	"0.1398"	"0.0505"	"0.0748"	"0.1486"	"0.1315"	"0.0755"	"0.0438"	"0.1155"	"0.1464"	"0.0945"	"0.1045"	"0.0869"	"0.1375"	"0.1029"	"0.0922"	"0.1594"	"0.1125"	"0.0616"	"0.1094"	"0.0536"	"0.1043"	"0.0784"	"0.0792"	"0.0866"
"CHEBI:28939"	"C5H9NO3S"	"CC(=O)N[C@@H](CS)C(O)=O"	"InChI=1S/C5H9NO3S/c1-3(7)6-4(2-10)5(8)9/h4,10H,2H2,1H3,(H,6,7)(H,8,9)/t4-/m0/s1"	"N-acetylcysteine"	"2.06(s),2.90(dd),2.93(dd),4.37(m),8.00(s)"	""	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"CHEBI:26986"	"C4H9NO3"	"CC(O)C(N)C(O)=O"	"InChI=1S/C4H9NO3/c1-2(6)3(5)4(7)8/h2-3,6H,5H2,1H3,(H,7,8)"	"threonine"	"1.31(d),3.58(d),4.24(m)"	""	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"CHEBI:16811"	"C5H11NO2S"	"CSCCC(N)C(O)=O"	"InChI=1S/C5H11NO2S/c1-9-3-2-4(6)5(7)8/h4H,2-3,6H2,1H3,(H,7,8)"	"methionine"	"2.11(m),2.13(s),2.18(m),2.63(t),3.85(dd)"	""	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"CHEBI:16449"	"C3H7NO2"	"CC(N)C(O)=O"	"InChI=1S/C3H7NO2/c1-2(4)3(5)6/h2H,4H2,1H3,(H,5,6)"	"alanine"	"1.47(d),3.78(q)"	""	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"CHEBI:25094"	"C6H14N2O2"	"NCCCCC(N)C(O)=O"	"InChI=1S/C6H14N2O2/c7-4-2-1-3-5(8)6(9)10/h5H,1-4,7-8H2,(H,9,10)"	"lysine"	"1.43(m),1.50(m),1.73(m),1.87(m),1.91(m),3.02(t),3.74(t)"	""	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"CHEBI:25017"	"C6H13NO2"	"CC(C)CC(N)C(O)=O"	"InChI=1S/C6H13NO2/c1-4(2)3-5(7)6(8)9/h4-5H,3,7H2,1-2H3,(H,8,9)"	"leucine"	"0.94(d),0.95(d),1.67(m),1.70(m),1.73(m),3.74(m)"	""	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
